Unnamed: 0,From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,Ozone,Benzene,Eth-Benzene,MP-Xylene,RH,WS,WD,TOT-RF
0,2021-01-01 00:00:00,2021-01-01 00:15:00,150.0,330.21,92.03,25.09,117.14,38.31,6.09,8.96,23.3,0.59,68.43,0.59,156.02,0.0
1,2021-01-01 00:15:00,2021-01-01 00:30:00,150.0,398.0,101.03,23.89,124.94,37.9,2.39,7.89,21.85,0.68,69.3,0.5,189.3,0.0
2,2021-01-01 00:30:00,2021-01-01 00:45:00,150.0,398.0,113.79,22.28,136.06,36.74,7.27,10.31,31.43,,71.45,0.49,238.31,0.0
3,2021-01-01 00:45:00,2021-01-01 01:00:00,164.42,398.0,126.27,22.24,148.53,28.61,5.37,12.82,27.64,11.98,76.18,0.73,292.77,0.0
4,2021-01-01 01:00:00,2021-01-01 01:15:00,209.0,459.16,131.9,22.61,154.51,24.13,2.4,10.9,11.9,32.39,80.07,0.53,248.84,0.0
5,2021-01-01 01:15:00,2021-01-01 01:30:00,209.0,742.0,134.56,21.05,155.63,30.63,1.19,8.02,11.5,33.59,82.12,0.46,264.99,0.0
6,2021-01-01 01:30:00,2021-01-01 01:45:00,209.0,742.0,135.33,18.74,154.08,33.78,1.64,8.61,9.55,23.42,83.0,0.62,253.15,0.0
7,2021-01-01 01:45:00,2021-01-01 02:00:00,210.17,742.0,136.5,16.99,153.49,31.03,2.33,9.44,14.9,10.82,82.47,0.6,214.86,0.0
8,2021-01-01 02:00:00,2021-01-01 02:15:00,214.0,686.09,138.07,15.14,153.2,24.42,2.54,7.08,23.57,,82.38,0.44,172.57,0.0
9,2021-01-01 02:15:00,2021-01-01 02:30:00,214.0,446.0,140.93,13.99,154.91,29.45,2.24,8.94,21.47,,82.78,0.3,194.99,0.0
10,2021-01-01 02:30:00,2021-01-01 02:45:00,214.0,446.0,143.59,13.65,157.25,33.37,5.94,12.37,20.82,1.78,83.78,0.36,187.0,0.0
11,2021-01-01 02:45:00,2021-01-01 03:00:00,211.12,446.0,146.1,12.12,158.2,32.05,3.81,11.96,19.43,13.94,84.17,0.5,166.37,0.0
12,2021-01-01 03:00:00,2021-01-01 03:15:00,203.0,,,,,,,,,,,,,0.0
